exp_name,problem,method,dim,seed,noise_seed,noise_pct,sigma_noise,budget,iter,init_factor,x_uv,x_xy,x,y,y_noisy,best_so_far,best_so_far_obs,regret,regret_obs,time_s
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.2,10.282938010515531,50,7,2.0,"[0.7288075430943156, 0.8357157140142761]","[5.932113146414734, 12.535735710214142]","[5.932113146414734, 12.535735710214142]",149.68392488257433,162.14172460261864,2.4244483748172287,24.691965699797446,2.026561374817229,24.29407869979745,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.2,10.282938010515531,50,8,2.0,"[0.09087249982930846, 0.4578054870400959]","[-3.636912502560373, 6.867082305601438]","[-3.636912502560373, 6.867082305601438]",45.50859309208747,47.18964102117615,2.4244483748172287,24.691965699797446,2.026561374817229,24.29407869979745,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.2,10.282938010515531,50,9,2.0,"[0.6218150609123825, 0.18845374442395318]","[4.327225913685737, 2.826806166359298]","[4.327225913685737, 2.826806166359298]",8.068985797498785,28.014361892055184,2.4244483748172287,24.691965699797446,2.026561374817229,24.29407869979745,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.2,10.282938010515531,50,10,2.0,"[0.012739233746429086, 0.2930091855253563]","[-4.8089114938035635, 4.395137782880345]","[-4.8089114938035635, 4.395137782880345]",160.88881251484835,184.97894409617936,2.4244483748172287,24.691965699797446,2.026561374817229,24.29407869979745,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.2,10.282938010515531,50,11,2.0,"[0.44783238001056325, 0.005395734275277406]","[1.7174857001584485, 0.08093601412916109]","[1.7174857001584485, 0.08093601412916109]",21.317606773040666,10.046054310889737,2.4244483748172287,10.046054310889737,2.026561374817229,9.648167310889736,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.2,10.282938010515531,50,12,2.0,"[0.8151545769061659, 0.020330552710570583]","[7.227318653592489, 0.30495829065855873]","[7.227318653592489, 0.30495829065855873]",16.515177819743524,16.4092669394577,2.4244483748172287,10.046054310889737,2.026561374817229,9.648167310889736,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.2,10.282938010515531,50,13,2.0,"[0.17726357844699772, 0.8945803023415262]","[-2.3410463232950343, 13.418704535122894]","[-2.3410463232950343, 13.418704535122894]",12.22304735305233,27.927643912116302,2.4244483748172287,10.046054310889737,2.026561374817229,9.648167310889736,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.2,10.282938010515531,50,14,2.0,"[0.020819470478723894, 0.20248566552999128]","[-4.6877079428191415, 3.037284982949869]","[-4.6877079428191415, 3.037284982949869]",185.64931658367092,191.1731346449574,2.4244483748172287,10.046054310889737,2.026561374817229,9.648167310889736,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.2,10.282938010515531,50,15,2.0,"[0.25230770222962506, 0.8786411937322676]","[-1.2153844665556242, 13.179617905984014]","[-1.2153844665556242, 13.179617905984014]",38.88874758370528,39.64250571890439,2.4244483748172287,10.046054310889737,2.026561374817229,9.648167310889736,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.2,10.282938010515531,50,16,2.0,"[0.6459739226563784, 0.40643738782151884]","[4.689608839845677, 6.096560817322782]","[4.689608839845677, 6.096560817322782]",32.05235363013787,28.70729784743297,2.4244483748172287,10.046054310889737,2.026561374817229,9.648167310889736,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.2,10.282938010515531,50,17,2.0,"[0.11631707108243064, 0.9372728018049116]","[-3.2552439337635404, 14.059092027073673]","[-3.2552439337635404, 14.059092027073673]",2.737796785799004,-16.08884458518679,2.4244483748172287,-16.08884458518679,2.026561374817229,-16.486731585186792,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.2,10.282938010515531,50,18,2.0,"[0.7724042690403076, 0.3077784284795821]","[6.586064035604613, 4.616676427193731]","[6.586064035604613, 4.616676427193731]",31.38135786043914,20.0870375673276,2.4244483748172287,-16.08884458518679,2.026561374817229,-16.486731585186792,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.2,10.282938010515531,50,19,2.0,"[0.05626540478400545, 0.5211713606961039]","[-4.156018928239918, 7.817570410441559]","[-4.156018928239918, 7.817570410441559]",54.32574279556198,52.444692505679015,2.4244483748172287,-16.08884458518679,2.026561374817229,-16.486731585186792,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.2,10.282938010515531,50,20,2.0,"[0.6080910367964305, 0.12067171150610928]","[4.121365551946457, 1.8100756725916392]","[4.121365551946457, 1.8100756725916392]",4.680273146534545,-10.37954586584259,2.4244483748172287,-16.08884458518679,2.026561374817229,-16.486731585186792,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.2,10.282938010515531,50,21,2.0,"[0.7125821630307942, 0.8546896714357746]","[5.688732445461914, 12.820345071536618]","[5.688732445461914, 12.820345071536618]",154.695588385582,152.28370853525112,2.4244483748172287,-16.08884458518679,2.026561374817229,-16.486731585186792,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.2,10.282938010515531,50,22,2.0,"[0.1371480855317514, 0.34620483751117914]","[-2.942778717023729, 5.1930725626676875]","[-2.942778717023729, 5.1930725626676875]",44.26903720462085,45.69472568032647,2.4244483748172287,-16.08884458518679,2.026561374817229,-16.486731585186792,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.2,10.282938010515531,50,23,2.0,"[0.9202941260993074, 0.1435131124120512]","[8.804411891489611, 2.152696686180768]","[8.804411891489611, 2.152696686180768]",2.209973313137346,23.9842825057099,2.209973313137346,-16.08884458518679,1.812086313137346,-16.486731585186792,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.2,10.282938010515531,50,24,2.0,"[0.7499979162737529, 0.37778975668698]","[6.249968744106294, 5.6668463503047]","[6.249968744106294, 5.6668463503047]",40.46125768963188,27.659765081910464,2.209973313137346,-16.08884458518679,1.812086313137346,-16.486731585186792,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.2,10.282938010515531,50,25,2.0,"[0.3697167071766358, 0.7799019301047065]","[0.5457506076495369, 11.698528951570598]","[0.5457506076495369, 11.698528951570598]",60.83044604620614,58.50088567143117,2.209973313137346,-16.08884458518679,1.812086313137346,-16.486731585186792,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.2,10.282938010515531,50,26,2.0,"[0.20056639342290927, 0.9591442035922192]","[-1.9915040986563608, 14.387163053883288]","[-1.9915040986563608, 14.387163053883288]",28.217610222251853,20.70027715774583,2.209973313137346,-16.08884458518679,1.812086313137346,-16.486731585186792,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.2,10.282938010515531,50,27,2.0,"[0.874222857559795, 0.6316066477197371]","[8.113342863396925, 9.474099715796056]","[8.113342863396925, 9.474099715796056]",69.68136277733453,61.82199094698628,2.209973313137346,-16.08884458518679,1.812086313137346,-16.486731585186792,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.2,10.282938010515531,50,28,2.0,"[0.27994419871578424, 0.47246374289372084]","[-0.8008370192632359, 7.086956143405812]","[-0.8008370192632359, 7.086956143405812]",16.75724071727386,15.610254915677936,2.209973313137346,-16.08884458518679,1.812086313137346,-16.486731585186792,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.2,10.282938010515531,50,29,2.0,"[0.96297528024465, 0.23294379023148498]","[9.444629203669749, 3.494156853472275]","[9.444629203669749, 3.494156853472275]",1.4045068336351942,-4.2622028788125945,1.4045068336351942,-16.08884458518679,1.0066198336351944,-16.486731585186792,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.2,10.282938010515531,50,30,2.0,"[0.0721327155153436, 0.5810404260212881]","[-3.918009267269846, 8.715606390319323]","[-3.918009267269846, 8.715606390319323]",33.434609362749256,50.78661831135739,1.4045068336351942,-16.08884458518679,1.0066198336351944,-16.486731585186792,0.0
