exp_name,problem,method,dim,seed,noise_seed,noise_pct,sigma_noise,budget,iter,init_factor,x_uv,x_xy,x,y,y_noisy,best_so_far,best_so_far_obs,regret,regret_obs,time_s
SB4_BO_EI_vs_KG_noise,Branin2D,BO_EI,2,0,777000,0.0,0.0,50,0,2.0,"[0.2697867137638703, 0.04097352393619469]","[-0.9531992935419451, 0.6146028590429203]","[-0.9531992935419451, 0.6146028590429203]",64.8384750087601,64.8384750087601,64.8384750087601,64.8384750087601,64.4405880087601,64.4405880087601,0.0
SB4_BO_EI_vs_KG_noise,Branin2D,BO_EI,2,0,777000,0.0,0.0,50,1,2.0,"[0.016527635528529094, 0.8132702392002724]","[-4.752085467072064, 12.199053588004086]","[-4.752085467072064, 12.199053588004086]",28.71154828225334,28.71154828225334,28.71154828225334,28.71154828225334,28.31366128225334,28.31366128225334,0.0
SB4_BO_EI_vs_KG_noise,Branin2D,BO_EI,2,0,777000,0.0,0.0,50,2,2.0,"[0.9127555772777217, 0.6066357757671799]","[8.691333659165826, 9.099536636507699]","[8.691333659165826, 9.099536636507699]",54.32909133550823,54.32909133550823,28.71154828225334,28.71154828225334,28.31366128225334,28.31366128225334,0.0
SB4_BO_EI_vs_KG_noise,Branin2D,BO_EI,2,0,777000,0.0,0.0,50,3,2.0,"[0.7294965609839984, 0.5436249914654229]","[5.942448414759976, 8.154374871981343]","[5.942448414759976, 8.154374871981343]",68.75570930373812,68.75570930373812,28.71154828225334,28.71154828225334,28.31366128225334,28.31366128225334,0.0
SB4_BO_EI_vs_KG_noise,Branin2D,BO_EI,2,0,777000,0.0,0.0,50,4,2.0,"[0.4812604965752686, 0.8135340641796355]","[2.218907448629029, 12.203010962694533]","[2.218907448629029, 12.203010962694533]",86.9854541675547,86.9854541675547,28.71154828225334,28.71154828225334,28.31366128225334,28.31366128225334,0.0302577018737792
SB4_BO_EI_vs_KG_noise,Branin2D,BO_EI,2,0,777000,0.0,0.0,50,5,2.0,"[0.4646460759129756, 0.6499032246183618]","[1.9696911386946336, 9.748548369275428]","[1.9696911386946336, 9.748548369275428]",47.0031961790196,47.0031961790196,28.71154828225334,28.71154828225334,28.31366128225334,28.31366128225334,0.0635955333709716
SB4_BO_EI_vs_KG_noise,Branin2D,BO_EI,2,0,777000,0.0,0.0,50,6,2.0,"[0.051722645106049514, 0.7210528537145383]","[-4.224160323409257, 10.815792805718075]","[-4.224160323409257, 10.815792805718075]",23.23927118405179,23.23927118405179,23.23927118405179,23.23927118405179,22.84138418405179,22.84138418405179,0.1007847785949707
SB4_BO_EI_vs_KG_noise,Branin2D,BO_EI,2,0,777000,0.0,0.0,50,7,2.0,"[0.023356387448754568, 0.6786069088523675]","[-4.6496541882686815, 10.179103632785512]","[-4.6496541882686815, 10.179103632785512]",45.565331828901456,45.565331828901456,23.23927118405179,23.23927118405179,22.84138418405179,22.84138418405179,0.1323244571685791
SB4_BO_EI_vs_KG_noise,Branin2D,BO_EI,2,0,777000,0.0,0.0,50,8,2.0,"[0.9058611855908387, 0.6917831674224066]","[8.587917783862581, 10.376747511336099]","[8.587917783862581, 10.376747511336099]",76.11095801002693,76.11095801002693,23.23927118405179,23.23927118405179,22.84138418405179,22.84138418405179,0.1967413425445556
SB4_BO_EI_vs_KG_noise,Branin2D,BO_EI,2,0,777000,0.0,0.0,50,9,2.0,"[0.5538878523139186, 0.7588190118097979]","[3.3083177847087786, 11.382285177146969]","[3.3083177847087786, 11.382285177146969]",85.7925520461631,85.7925520461631,23.23927118405179,23.23927118405179,22.84138418405179,22.84138418405179,0.2517204284667969
SB4_BO_EI_vs_KG_noise,Branin2D,BO_EI,2,0,777000,0.0,0.0,50,10,2.0,"[0.8209000395755062, 0.7830978243227352]","[7.313500593632593, 11.746467364841028]","[7.313500593632593, 11.746467364841028]",124.69855207791272,124.69855207791272,23.23927118405179,23.23927118405179,22.84138418405179,22.84138418405179,0.3159520626068115
SB4_BO_EI_vs_KG_noise,Branin2D,BO_EI,2,0,777000,0.0,0.0,50,11,2.0,"[0.06870497111208895, 0.43559187479094963]","[-3.9694254333186656, 6.5338781218642445]","[-3.9694254333186656, 6.5338781218642445]",64.64327447116011,64.64327447116011,23.23927118405179,23.23927118405179,22.84138418405179,22.84138418405179,0.3516361713409424
SB4_BO_EI_vs_KG_noise,Branin2D,BO_EI,2,0,777000,0.0,0.0,50,12,2.0,"[0.9225441151597523, 0.7539152706325929]","[8.838161727396285, 11.308729059488893]","[8.838161727396285, 11.308729059488893]",88.19764910352369,88.19764910352369,23.23927118405179,23.23927118405179,22.84138418405179,22.84138418405179,0.397066593170166
SB4_BO_EI_vs_KG_noise,Branin2D,BO_EI,2,0,777000,0.0,0.0,50,13,2.0,"[0.7799054891626306, 0.050148174197712114]","[6.6985823374394595, 0.7522226129656817]","[6.6985823374394595, 0.7522226129656817]",18.932424409012413,18.932424409012413,18.932424409012413,18.932424409012413,18.53453740901241,18.53453740901241,0.4539768695831299
SB4_BO_EI_vs_KG_noise,Branin2D,BO_EI,2,0,777000,0.0,0.0,50,14,2.0,"[0.4642779001915287, 0.8031545942228785]","[1.9641685028729308, 12.047318913343178]","[1.9641685028729308, 12.047318913343178]",81.57511610063341,81.57511610063341,18.932424409012413,18.932424409012413,18.53453740901241,18.53453740901241,0.4966661930084228
SB4_BO_EI_vs_KG_noise,Branin2D,BO_EI,2,0,777000,0.0,0.0,50,15,2.0,"[0.8087129671910367, 0.0521316985029705]","[7.130694507865551, 0.7819754775445575]","[7.130694507865551, 0.7819754775445575]",16.54684226889666,16.54684226889666,16.54684226889666,16.54684226889666,16.14895526889666,16.14895526889666,0.5521104335784912
SB4_BO_EI_vs_KG_noise,Branin2D,BO_EI,2,0,777000,0.0,0.0,50,16,2.0,"[0.74425545216698, 0.055300640100117704]","[6.163831782504699, 0.8295096015017656]","[6.163831782504699, 0.8295096015017656]",19.60591065858665,19.60591065858665,16.54684226889666,16.54684226889666,16.14895526889666,16.14895526889666,0.5982215404510498
SB4_BO_EI_vs_KG_noise,Branin2D,BO_EI,2,0,777000,0.0,0.0,50,17,2.0,"[0.966802877355924, 0.05689719525770687]","[9.502043160338859, 0.853457928865603]","[9.502043160338859, 0.853457928865603]",3.2741511524236757,3.2741511524236757,3.2741511524236757,3.2741511524236757,2.8762641524236754,2.8762641524236754,0.6351659297943115
SB4_BO_EI_vs_KG_noise,Branin2D,BO_EI,2,0,777000,0.0,0.0,50,18,2.0,"[0.48013462641163973, 0.06025991996641633]","[2.202019396174596, 0.903898799496245]","[2.202019396174596, 0.903898799496245]",9.25247156699644,9.25247156699644,3.2741511524236757,3.2741511524236757,2.8762641524236754,2.8762641524236754,0.6795170307159424
SB4_BO_EI_vs_KG_noise,Branin2D,BO_EI,2,0,777000,0.0,0.0,50,19,2.0,"[0.20321578821150577, 0.06297432490851562]","[-1.9517631768274137, 0.9446148736277343]","[-1.9517631768274137, 0.9446148736277343]",81.31845613526018,81.31845613526018,3.2741511524236757,3.2741511524236757,2.8762641524236754,2.8762641524236754,0.7135145664215088
SB4_BO_EI_vs_KG_noise,Branin2D,BO_EI,2,0,777000,0.0,0.0,50,20,2.0,"[0.36462413946807226, 0.05537471520572468]","[0.46936209202108437, 0.8306207280858702]","[0.46936209202108437, 0.8306207280858702]",38.373561283350725,38.373561283350725,3.2741511524236757,3.2741511524236757,2.8762641524236754,2.8762641524236754,0.7527070045471191
SB4_BO_EI_vs_KG_noise,Branin2D,BO_EI,2,0,777000,0.0,0.0,50,21,2.0,"[0.3577786464929521, 0.054009156523684876]","[0.3666796973942814, 0.8101373478552731]","[0.3666796973942814, 0.8101373478552731]",40.341867911966126,40.341867911966126,3.2741511524236757,3.2741511524236757,2.8762641524236754,2.8762641524236754,0.7801878452301025
SB4_BO_EI_vs_KG_noise,Branin2D,BO_EI,2,0,777000,0.0,0.0,50,22,2.0,"[0.7316360542347986, 0.05450619029946491]","[5.97454081352198, 0.8175928544919736]","[5.97454081352198, 0.8175928544919736]",19.229538102633725,19.229538102633725,3.2741511524236757,3.2741511524236757,2.8762641524236754,2.8762641524236754,0.8303909301757812
SB4_BO_EI_vs_KG_noise,Branin2D,BO_EI,2,0,777000,0.0,0.0,50,23,2.0,"[0.9768564045690631, 0.05330508472860085]","[9.652846068535947, 0.7995762709290127]","[9.652846068535947, 0.7995762709290127]",4.160372559407319,4.160372559407319,3.2741511524236757,3.2741511524236757,2.8762641524236754,2.8762641524236754,0.8639466762542725
SB4_BO_EI_vs_KG_noise,Branin2D,BO_EI,2,0,777000,0.0,0.0,50,24,2.0,"[0.09700779391023229, 0.0528204415030491]","[-3.5448830913465157, 0.7923066225457365]","[-3.5448830913465157, 0.7923066225457365]",156.7416522334689,156.7416522334689,3.2741511524236757,3.2741511524236757,2.8762641524236754,2.8762641524236754,0.9164776802062988
SB4_BO_EI_vs_KG_noise,Branin2D,BO_EI,2,0,777000,0.0,0.0,50,25,2.0,"[0.28590753111241496, 0.05698084118799973]","[-0.711387033313776, 0.854712617819996]","[-0.711387033313776, 0.854712617819996]",57.50520800005802,57.50520800005802,3.2741511524236757,3.2741511524236757,2.8762641524236754,2.8762641524236754,0.969883918762207
SB4_BO_EI_vs_KG_noise,Branin2D,BO_EI,2,0,777000,0.0,0.0,50,26,2.0,"[0.19798555872366863, 0.056929867361602104]","[-2.0302166191449706, 0.8539480104240316]","[-2.0302166191449706, 0.8539480104240316]",85.12511953748103,85.12511953748103,3.2741511524236757,3.2741511524236757,2.8762641524236754,2.8762641524236754,1.013537883758545
SB4_BO_EI_vs_KG_noise,Branin2D,BO_EI,2,0,777000,0.0,0.0,50,27,2.0,"[0.21488420043748646, 0.05595165672673752]","[-1.7767369934377033, 0.8392748509010628]","[-1.7767369934377033, 0.8392748509010628]",78.53431681229706,78.53431681229706,3.2741511524236757,3.2741511524236757,2.8762641524236754,2.8762641524236754,1.0805211067199707
SB4_BO_EI_vs_KG_noise,Branin2D,BO_EI,2,0,777000,0.0,0.0,50,28,2.0,"[0.07170107836595574, 0.0554199878981354]","[-3.9244838245106637, 0.831299818472031]","[-3.9244838245106637, 0.831299818472031]",182.8700099490452,182.8700099490452,3.2741511524236757,3.2741511524236757,2.8762641524236754,2.8762641524236754,1.1461412906646729
SB4_BO_EI_vs_KG_noise,Branin2D,BO_EI,2,0,777000,0.0,0.0,50,29,2.0,"[0.6060530536037826, 0.40691067223809796]","[4.090795804056739, 6.103660083571469]","[4.090795804056739, 6.103660083571469]",24.23324918456626,24.23324918456626,3.2741511524236757,3.2741511524236757,2.8762641524236754,2.8762641524236754,1.1967175006866455
SB4_BO_EI_vs_KG_noise,Branin2D,BO_EI,2,0,777000,0.0,0.0,50,30,2.0,"[0.10110181142445862, 0.8240368088780045]","[-3.4834728286331207, 12.360552133170067]","[-3.4834728286331207, 12.360552133170067]",1.517852336894293,1.517852336894293,1.517852336894293,1.517852336894293,1.1199653368942937,1.1199653368942937,1.2527363300323486
SB4_BO_EI_vs_KG_noise,Branin2D,BO_EI,2,0,777000,0.0,0.0,50,31,2.0,"[0.1699012241801625, 0.1040996642597698]","[-2.4514816372975625, 1.561494963896547]","[-2.4514816372975625, 1.561494963896547]",85.70615973296863,85.70615973296863,1.517852336894293,1.517852336894293,1.1199653368942937,1.1199653368942937,1.3137609958648682
SB4_BO_EI_vs_KG_noise,Branin2D,BO_EI,2,0,777000,0.0,0.0,50,32,2.0,"[0.5470447928915615, 0.019604550554701006]","[3.205671893373422, 0.2940682583205151]","[3.205671893373422, 0.2940682583205151]",4.148245792839141,4.148245792839141,1.517852336894293,1.517852336894293,1.1199653368942937,1.1199653368942937,1.413813829421997
